title,variant,price,imgUrl,link,l1,l2,inviteId,modelId,final_1688_link,price judge,update date,itemid,最大价格,tag,共有model数
雅马哈 SE 5MRO Y15ZR LC V8 FI 扰流板座椅杆 蓝色 黑色 NHG 绿色 DPBME SE 酒红色 NPB2,5MRO 蓝色,25.98,https://cf.shopee.com.my/file/my-11134207-7rash-m2c8laiuuja750,http://shopee.com.my/product/1053624303/29508885558,摩托车配件,座椅及座椅套,IVCN202509153150,241983275886,https://detail.1688.com/offer/872569142058.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,P1,2026/3/15,29508885558,25.98,,1
Wave 125 CNC KDR 油泵,Wave 125 CNC KDR 油泵,10,https://cf.shopee.co.th/file/th-11134207-7rasg-m2fboxtyuvms34,http://shopee.co.th/product/735168598/27217167606,摩托车零配件,燃油系统,IVCN2026011514618,237004215654,相似款：https://detail.1688.com/offer/880873018041.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,P0,2026/3/15,27217167606,10,最后一周,1
SFR D28 信号 LED RS150 R25 ZX150 RR150 RSX R15 通用整流罩使用信号灯 LED 侧整流罩 Segi Tigayamaha,抽烟,3.34,https://cf.shopee.com.my/file/my-11134207-7r98r-lmgwjoe1mp5f0d,http://shopee.com.my/product/903142190/22515773984,摩托车零配件,灯光,IVCN202601155087,220670944724,https://detail.1688.com/offer/524487978062.html?kj_agent_plugin=aliprice&fromkv=xytTrace:212bc12a17555865335597123e0d1f&token=AhrV3d9R3ySFRqJ4T1hFoMTYk42v5G1nJaYIBIv5LiCH3OvZbjTIgDPrteWfZ9%2BL,P1,2026/3/15,22515773984,3.34,,1
"VORMAX 摩托车内胎，尺寸 14-17 (2.00-17, 2.25-17, 2.50-17, 2.75-17, 250-14, 2.75-14)",2.75/3.00-14 Vormax,2.79,https://cf.shopee.co.th/file/16b3635f3e25ab808f3a247aa959c1fd,http://shopee.co.th/product/647598481/15133214549,摩托车零配件,轮胎及配件,IVCN202601159449,141563335327,https://detail.1688.com/offer/679081458699.html?spm=a26352.13672862.offerlist.28.51781e62vbrBfA,P1,2026/3/15,15133214549,2.79,,2
MODA SPORTER S 原装技术滑轮,全套（6个滚珠），14克（标准）,103.95,https://cf.shopee.com.my/file/my-11134207-7qukx-lk27d23ihemu27,http://shopee.com.my/product/200338405/26332044399,摩托车零配件,传动系统、变速器和离合器,IVCN2025112519230,248080748449,无同款,P0,2026/3/15,26332044399,103.95,最后一周,2
Delmax 和 MRF 4.50x12 和 5.00×12，带免费内衬,4.50x12 肋骨 8PR,90.68,https://cf.shopee.ph/file/ph-11134207-7r98u-lm1m09g2p6up22,http://shopee.ph/product/80859792/7092072451,摩托车零配件,轮胎及配件,IVCN202601159109,166113988150,相似款：相似款：https://detail.1688.com/offer/951037084314.html?spm=a26352.b28411319.offerlist.13.53fd1e62WcK2tB,P1,2026/3/15,7092072451,90.68,,3
Delmax 和 MRF 4.50x12 和 5.00×12，带免费内衬,4.50x12 凸耳 8 对,90.58,https://cf.shopee.ph/file/ph-11134207-7qul4-li02kli22oehba,http://shopee.ph/product/80859792/7092072451,摩托车零配件,轮胎及配件,IVCN202601159109,97096894640,相似款：https://detail.1688.com/offer/951037084314.html?spm=a26352.b28411319.offerlist.13.53fd1e62WcK2tB,P1,2026/3/15,7092072451,90.68,,3
雅马哈 Y15ZR（2档）100% 原装 HLY 主从动齿轮总成离合器小齿轮从动齿轮组,放,90,https://cf.shopee.com.my/file/my-11134207-7r98o-lwcd18zhsacwe6,http://shopee.com.my/product/267233432/24381957699,摩托车零配件,传动系统、变速器和离合器,IVCN2025112522320,88939239912,https://detail.1688.com/offer/793931297935.html?spm=a26352.b28411319/2508.0.0,P0,2026/3/15,24381957699,90,,1
适用于 XRM 110/125 的不锈钢原厂气罐,全套，Xrm 125,74.73,https://cf.shopee.ph/file/ph-11134207-7rasf-m8zsmho70z03fc,http://shopee.ph/product/525117540/27634872531,摩托车零配件,尾气和排放,IVCN2025112522966,109484319877,https://detail.1688.com/offer/651968186227.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,P1,2026/3/15,27634872531,74.73,,1
PARAM Monorack Lipat 不锈钢 Y15 LC135 V1-V8 Y16 V1 V2 RS150 RSX EX5 DREAM EGO Future Avantiz Vario Dash Nmax,Y15/ VF3I/ LC135 V8,74.48,https://cf.shopee.com.my/file/my-11134207-7rasi-m874b3x2rn2m77,http://shopee.com.my/product/362969562/26757168169,摩托车配件,盒子和箱子,IVCN2025112526270,187703614998,https://detail.1688.com/offer/948919008053.html?spm=a26352.b28411319/2508.0.0&cosite=-&tracelog=p4p&_p_isad=1&clickid=3ecbed9f2833498ebb3451809e2d6ec8&sessionid=cac11fc1c46f47059fb018207652fa44,P1,2026/3/15,26757168169,74.48,最后一周,1
SPD 铝合金轮毂 17寸 黑色 185x17 215x17 250x17 350x17,2.15x17 SPD 轮辋，黑色,71.1,https://cf.shopee.ph/file/ph-11134207-81ztl-mf55urrd3bwu1b,http://shopee.ph/product/282322300/26205565729,摩托车零配件,车轮、轮辋及配件,IVCN202601159995,236554815543,https://detail.1688.com/offer/610735332018.html?spm=a26352.13672862.offerlist.35.690a1e62Q8zpmP&offerId=610735332018&sortType=&pageId=&abBizDataType=cbuOffer&hotSaleSkuId=5902932174305&trace_log=normal&uuid=59384aebe2cc417db94b4c6c3ea5fad5&forcePC=1765782321675,P1,2026/3/15,26205565729,71.1,,2
VARIO160 MONORACK 重型 + GIVI 箱/油罐车 ABS 尾箱 优质,单轨 VARIO160,70.17,https://cf.shopee.com.my/file/my-11134207-7rasj-m0zrf6n3a7d956,http://shopee.com.my/product/230894337/19586254788,摩托车配件,盒子和箱子,IVCN2025073018633,251726103918,https://detail.1688.com/offer/813597788718.html?kj_agent_plugin=aliprice&fromkv=xytTrace:2154647417629145038125730e0f4f&token=Bi%2BEVbMzXdOD2ekonp%2FpzxiToByiAUBg5IEW8EOO%2BcELSWkaZKrkI9YkzbHvIy49,P1,2026/3/15,19586254788,70.17,,1
全新 SEC 45 升黑色阴影合金尾箱,全新 SEC 45 升黑色阴影合金尾箱,69.36,https://cf.shopee.ph/file/ph-11134207-7rasf-m7opjpht51ni9b,http://shopee.ph/product/1124869267/24643022812,摩托车配件,盒子和箱子,IVCN2025121911887,227560364896,相似款：https://detail.1688.com/offer/974994940218.html?spm=a26352.b28411319/2508.0.0&cosite=-&tracelog=p4p&_p_isad=1&clickid=274af537e42a4184bf5f376dbb127f84&sessionid=902e684b3c3e457a93af869d10695911,P1,2026/3/15,24643022812,69.36,最后一周,1
适用于 WAVE S 125/XRM/RS/SYM/SMASH 的轮毂套件,镀铬套装 9 件套,65.56,https://cf.shopee.ph/file/ph-11134207-7ra0q-mbaontjm7mnld2,http://shopee.ph/product/366818272/28354898867,摩托车零配件,车轮、轮辋及配件,IVCN202508275069,215962891924,无同款,P0,2026/3/15,28354898867,65.56,,1
SGV头盔 SGV99 SGV头盔（三扣） - 不适合头围较大的人 MS88,黑色的,63.99,https://cf.shopee.com.my/file/a85c0353cd6c260fb296cc2343f1b435,http://shopee.com.my/product/213498462/5013040834,摩托车头盔及配件,,IVCN2025082710267,67357056981,相似款：https://detail.1688.com/offer/736576732088.html?kj_agent_plugin=aliprice&fromkv=xytTrace:212b5ecd17567181432511052e0f13&token=C26Y4n6AvUh0owIg3gEJKHZzvm4VlHHt4d6PjDBojiDfU6kaEpoMCYaLzPlbR4Qg,P1,2026/3/15,5013040834,63.99,最后一周,3
SGV头盔 SGV99 SGV头盔（三扣） - 不适合头围较大的人 MS88,银,31,https://cf.shopee.com.my/file/04e3412c39408bba65cc276552f21fd8,http://shopee.com.my/product/213498462/5013040834,摩托车头盔及配件,,IVCN2025082710267,210154076164,相似款：https://detail.1688.com/offer/922510025411.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i0&source=action%23offerItem%3Borigin%23cf.shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982,P0,2026/3/15,5013040834,63.99,最后一周,3
GRAB 不锈钢可调节包架,GRAB 不锈钢可调节包架,63.77,https://cf.shopee.ph/file/ph-11134207-7r98t-ls9fe98c7eboa2,http://shopee.ph/product/165647283/24715596497,摩托车配件,盒子和箱子,IVCN2026011510505,147210281142,相似款：https://detail.1688.com/offer/953890187788.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,P1,2026/3/15,24715596497,63.77,,1
摩托车后备箱 摩托车尾箱 45升 36升 行李储物箱 大容量尾箱 头盔箱,45L-Decal 5+Backres,61.88,https://cf.shopee.ph/file/ph-11134207-81ztc-mftghe6jwf7v55,http://shopee.ph/product/540193611/24244986726,摩托车配件,盒子和箱子,IVCN202507186395,271955717491,https://detail.1688.com/offer/860024786326.html?kj_agent_plugin=aliprice&fromkv=xytTrace:2146938717655070725506229e17da&token=9xC5xCNnoQeLbpDZNXc0kHHC40I83SFqNk4CAm9EnfVjBkXOjpyQ8DQcGrMhytSN,P1,2026/3/15,24244986726,61.88,,3
【我的配送】ROCKBROS 摩托车踏板车隧道包油箱包宠物包 14L EVA 硬壳旅行包 适用于 NMAX/XMAX/PCX,黑色的,59.38,https://cf.shopee.com.my/file/cn-11134207-7r98o-lwp4wcjagkkjee,http://shopee.com.my/product/154434718/27703192228,摩托车配件,盒子和箱子,IVCN2026011510311,222914730830,https://detail.1688.com/offer/803808432153.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,P1,2026/3/15,27703192228,59.38,最后一周,1
Zebra CRUISER 半盔式烟熏镜片复古经典摩托车头盔，适用于老式哈雷摩托车，原装正品,白色，M码（56-58厘米）,58.44,https://cf.shopee.ph/file/ph-11134207-81ztj-mghc77il1ibx3c,http://shopee.ph/product/556677485/25640535781,摩托车头盔及配件,,IVCN2025121913645,185726410570,https://detail.1688.com/offer/941480559462.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0b5681be17682139585605172e10f2&token=VUp%2FLdBSfuSGngX6cmKk7fkHqBVQ%2FJPbA5J6yPzxiT3Ht3u5Z%2B5i9ZoN%2BZdqSL6t,P1,2026/3/15,25640535781,58.44,最后一周,3
⭐️京滨化油器 Rouser135 / BAJAJ135（26.5MM）日本制造,Rouser135（26.5MM）,58.27,https://cf.shopee.ph/file/3142e2dfd399ed7c6902ab47fb7aa177,http://shopee.ph/product/233058075/18932512122,摩托车零配件,燃油系统,IVCN2025112524936,164000782816,https://detail.1688.com/offer/629005502975.html?f,P1,2026/3/15,18932512122,58.27,,1
